epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
42,4004,1.46176,0.99092,0.00667,0.68276,0.55649,0.60378,0.35815,1.3745,1.09031,0.0079,0.0017823,0.0005941,0.0017823,0.0005941,0.0017823,0.0005941,0.0017823,0.0005941
43,4098.06,1.44438,0.94237,0.00632,0.7217,0.52462,0.61346,0.35965,1.40253,1.08786,0.00812,0.0017526,0.0005842,0.0017526,0.0005842,0.0017526,0.0005842,0.0017526,0.0005842
44,4191.76,1.46469,0.98789,0.00665,0.79824,0.5322,0.61639,0.35755,1.40768,1.12133,0.00821,0.0017229,0.0005743,0.0017229,0.0005743,0.0017229,0.0005743,0.0017229,0.0005743
45,4285.01,1.43074,0.93151,0.00643,0.77232,0.57019,0.61946,0.35351,1.39065,1.22835,0.00801,0.0016932,0.0005644,0.0016932,0.0005644,0.0016932,0.0005644,0.0016932,0.0005644
46,4379,1.45172,0.98061,0.00663,0.80715,0.49158,0.60375,0.34744,1.38844,1.09446,0.00807,0.0016635,0.0005545,0.0016635,0.0005545,0.0016635,0.0005545,0.0016635,0.0005545
47,4474.13,1.44348,0.97452,0.00656,0.72939,0.51344,0.61565,0.36377,1.38271,1.05923,0.00799,0.0016338,0.0005446,0.0016338,0.0005446,0.0016338,0.0005446,0.0016338,0.0005446
48,4567.75,1.43634,0.95155,0.00645,0.78628,0.54618,0.60605,0.35634,1.39902,1.11667,0.0082,0.0016041,0.0005347,0.0016041,0.0005347,0.0016041,0.0005347,0.0016041,0.0005347
49,4661.77,1.46418,0.96409,0.00649,0.78098,0.53864,0.61116,0.36445,1.38506,1.16683,0.00799,0.0015744,0.0005248,0.0015744,0.0005248,0.0015744,0.0005248,0.0015744,0.0005248
50,4756.2,1.45042,0.9365,0.00657,0.80679,0.51749,0.62127,0.36437,1.38998,1.08115,0.00807,0.0015447,0.0005149,0.0015447,0.0005149,0.0015447,0.0005149,0.0015447,0.0005149
51,4850.72,1.45563,0.93996,0.00639,0.80512,0.52154,0.60683,0.36828,1.37652,1.04992,0.00805,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505
52,4944.86,1.42357,0.96856,0.00691,0.7191,0.57066,0.62258,0.36831,1.40649,1.09658,0.00829,0.0014853,0.0004951,0.0014853,0.0004951,0.0014853,0.0004951,0.0014853,0.0004951
53,5038.61,1.39562,0.92903,0.00656,0.67526,0.56215,0.59633,0.34171,1.3768,1.09002,0.00801,0.0014556,0.0004852,0.0014556,0.0004852,0.0014556,0.0004852,0.0014556,0.0004852
54,5131.82,1.39702,0.89964,0.00634,0.79803,0.53957,0.62569,0.3672,1.37014,1.03307,0.00786,0.0014259,0.0004753,0.0014259,0.0004753,0.0014259,0.0004753,0.0014259,0.0004753
55,5225.4,1.40403,0.89295,0.0063,0.75639,0.56524,0.62984,0.36292,1.37525,1.07479,0.00789,0.0013962,0.0004654,0.0013962,0.0004654,0.0013962,0.0004654,0.0013962,0.0004654
56,5318.98,1.42808,0.91068,0.00636,0.77447,0.52702,0.61885,0.3636,1.36678,1.05102,0.00793,0.0013665,0.0004555,0.0013665,0.0004555,0.0013665,0.0004555,0.0013665,0.0004555
57,5412.87,1.39688,0.89261,0.00633,0.69227,0.57219,0.62135,0.35151,1.38438,1.07666,0.00807,0.0013368,0.0004456,0.0013368,0.0004456,0.0013368,0.0004456,0.0013368,0.0004456
58,5505.9,1.41209,0.91777,0.00656,0.70109,0.56636,0.62351,0.35242,1.38043,1.07574,0.008,0.0013071,0.0004357,0.0013071,0.0004357,0.0013071,0.0004357,0.0013071,0.0004357
59,5600.04,1.39366,0.91443,0.00645,0.73115,0.56147,0.63087,0.37893,1.37454,1.0128,0.00809,0.0012774,0.0004258,0.0012774,0.0004258,0.0012774,0.0004258,0.0012774,0.0004258
60,5694.19,1.43511,0.92099,0.00634,0.83277,0.5364,0.62761,0.36076,1.36545,1.04863,0.00803,0.0012477,0.0004159,0.0012477,0.0004159,0.0012477,0.0004159,0.0012477,0.0004159
61,5788.92,1.40876,0.91212,0.00616,0.82708,0.56719,0.64003,0.37768,1.3803,1.06998,0.00816,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406
62,5883.09,1.40826,0.89813,0.00646,0.75167,0.5707,0.62337,0.35705,1.3789,1.05569,0.00816,0.0011883,0.0003961,0.0011883,0.0003961,0.0011883,0.0003961,0.0011883,0.0003961
63,5977.19,1.40411,0.89375,0.00634,0.69418,0.57204,0.60755,0.34999,1.38523,1.06003,0.00822,0.0011586,0.0003862,0.0011586,0.0003862,0.0011586,0.0003862,0.0011586,0.0003862
64,6070.88,1.38964,0.89049,0.00629,0.72716,0.52124,0.60052,0.36233,1.37441,1.0236,0.00803,0.0011289,0.0003763,0.0011289,0.0003763,0.0011289,0.0003763,0.0011289,0.0003763
65,6164.88,1.38457,0.90196,0.00638,0.81578,0.50742,0.60445,0.35903,1.36558,1.10503,0.00793,0.0010992,0.0003664,0.0010992,0.0003664,0.0010992,0.0003664,0.0010992,0.0003664
66,6259.14,1.41255,0.88978,0.00607,0.74684,0.53261,0.63039,0.37087,1.36823,1.03703,0.00808,0.0010695,0.0003565,0.0010695,0.0003565,0.0010695,0.0003565,0.0010695,0.0003565
67,6352.71,1.3978,0.89833,0.00627,0.7064,0.6004,0.62102,0.37079,1.35189,1.08817,0.00783,0.0010398,0.0003466,0.0010398,0.0003466,0.0010398,0.0003466,0.0010398,0.0003466
68,6446.53,1.39908,0.87327,0.00622,0.86798,0.53812,0.63038,0.37412,1.35859,1.07747,0.00794,0.0010101,0.0003367,0.0010101,0.0003367,0.0010101,0.0003367,0.0010101,0.0003367
69,6540.38,1.37905,0.88119,0.00641,0.80775,0.5554,0.64173,0.38496,1.35088,1.05591,0.0078,0.0009804,0.0003268,0.0009804,0.0003268,0.0009804,0.0003268,0.0009804,0.0003268
70,6634.73,1.38467,0.86353,0.00619,0.84214,0.54657,0.63267,0.37835,1.36019,1.00223,0.00798,0.0009507,0.0003169,0.0009507,0.0003169,0.0009507,0.0003169,0.0009507,0.0003169
71,6728.49,1.37445,0.86878,0.0061,0.73314,0.58582,0.63707,0.37351,1.34812,1.01773,0.00779,0.000921,0.000307,0.000921,0.000307,0.000921,0.000307,0.000921,0.000307
72,6822,1.38862,0.88303,0.00633,0.75318,0.59877,0.63271,0.36711,1.3527,1.0376,0.00781,0.0008913,0.0002971,0.0008913,0.0002971,0.0008913,0.0002971,0.0008913,0.0002971
73,6915.9,1.37082,0.85945,0.00612,0.74187,0.61459,0.63518,0.36923,1.356,1.05195,0.00796,0.0008616,0.0002872,0.0008616,0.0002872,0.0008616,0.0002872,0.0008616,0.0002872
74,7009.72,1.37104,0.85561,0.006,0.79916,0.55406,0.64081,0.37064,1.37027,1.04519,0.0079,0.0008319,0.0002773,0.0008319,0.0002773,0.0008319,0.0002773,0.0008319,0.0002773
75,7104.38,1.3545,0.85236,0.00619,0.78081,0.57293,0.64447,0.37607,1.35459,1.03938,0.00782,0.0008022,0.0002674,0.0008022,0.0002674,0.0008022,0.0002674,0.0008022,0.0002674
76,7197.62,1.37197,0.85963,0.00596,0.77167,0.6053,0.64935,0.3803,1.35885,1.06243,0.00791,0.0007725,0.0002575,0.0007725,0.0002575,0.0007725,0.0002575,0.0007725,0.0002575
77,7291.28,1.39016,0.87122,0.00614,0.76563,0.57836,0.64053,0.37712,1.36125,1.06429,0.00786,0.0007428,0.0002476,0.0007428,0.0002476,0.0007428,0.0002476,0.0007428,0.0002476
78,7385.07,1.36252,0.84547,0.00615,0.91778,0.52745,0.64148,0.37788,1.3574,1.06731,0.0078,0.0007131,0.0002377,0.0007131,0.0002377,0.0007131,0.0002377,0.0007131,0.0002377
79,7482.4,1.3521,0.8494,0.00605,0.82185,0.58472,0.64346,0.37142,1.34634,1.01966,0.00786,0.0006834,0.0002278,0.0006834,0.0002278,0.0006834,0.0002278,0.0006834,0.0002278
80,7577.91,1.37676,0.86991,0.00619,0.80238,0.56255,0.63991,0.37104,1.35519,1.02172,0.00784,0.0006537,0.0002179,0.0006537,0.0002179,0.0006537,0.0002179,0.0006537,0.0002179
81,7671.6,1.39098,0.88298,0.00602,0.81266,0.57715,0.64767,0.37442,1.35778,1.03464,0.00801,0.000624,0.000208,0.000624,0.000208,0.000624,0.000208,0.000624,0.000208
82,7765.28,1.38684,0.90292,0.00626,0.76909,0.5555,0.63841,0.37076,1.34655,1.07318,0.00786,0.0005943,0.0001981,0.0005943,0.0001981,0.0005943,0.0001981,0.0005943,0.0001981
83,7859.96,1.36024,0.8459,0.00614,0.81164,0.5531,0.64748,0.3768,1.34903,1.0588,0.00789,0.0005646,0.0001882,0.0005646,0.0001882,0.0005646,0.0001882,0.0005646,0.0001882
84,7953.2,1.34558,0.85142,0.00614,0.69889,0.57318,0.61864,0.36064,1.34052,1.01871,0.00778,0.0005349,0.0001783,0.0005349,0.0001783,0.0005349,0.0001783,0.0005349,0.0001783
85,8046.66,1.34559,0.82516,0.00572,0.73858,0.55958,0.62202,0.36222,1.34171,1.03993,0.00777,0.0005052,0.0001684,0.0005052,0.0001684,0.0005052,0.0001684,0.0005052,0.0001684
86,8140.79,1.34454,0.82677,0.00584,0.82713,0.54401,0.63601,0.37005,1.33677,1.03002,0.00773,0.0004755,0.0001585,0.0004755,0.0001585,0.0004755,0.0001585,0.0004755,0.0001585
